"product","kuantitas_terjual","jumlah_transaksi","produk_rusak","sisa_produk","stok_awal","stok_akhir"
"OBH Anak Straw 55 ml","855","11211090","44","790","200","145"
"OBH Anak Straw 100 ml","465","7387071","7","403","130","189"
"OBH Anak Orange 55 ml","1624","21275709","47","927","181","137"
"OBH Anak Orange 100 ml","879","12388238","14","480","134","206"
"Lauramox","0","0","0","0","0","0"
"Dexanel","134","472388","12","144","89","147"
"Dermol","75","226595","20","2","576","511"
"Flukol X-tra box","0","0","0","0","0","0"
"Kalk tab 30'","664","6352973","0","663","626","201"
"Minyak kayu putih 30 ml","0","0","1","0","0","0"
"Minyak kayu putih 60 ml","0","0","8","0","0","0"
"Minyak Telon 30 ml","0","0","0","0","0","0"
"Minyak Telon 60 ml","0","0","6","0","0","0"
"Nellcoplus 100 ml","394","6358527","0","677","167","433"
"Nellcoplus 55 ml","921","10663271","40","670","164","442"
"OBH Berdahak 100 ml","2784","29075098","602","689","14","371"
"O B H Berdahak 55 ml","810","6588988","32","530","160","270"
"OBH Spc Jahe 100 ml","834","17816868","11","802","140","383"
"OBH Madu 100 ml","847","18087009","8","817","158","373"
"OBH Jahe 55 ml","1187","18262731","34","771","191","279"
"OBH Madu 55 ml","1351","20096765","0","882","217","182"
"OBH 100 ml","22846","621724019","20","11349","4781","4668"
"OBH 30 ml","0","0","0","0","0","0"
"OBH 55 ml","18613","375721821","0","7498","4317","4514"
"OBH anak 100 ml","0","0","33","13","0","0"
"OBH anak 30 ml","0","0","0","0","0","0"
"OBH anak 55 ml","276","3616283","49","245","43","80"
"OBH Anak Sachet","276","2227594","1439","29","1415","0"
"OBH sachet 7.5 ml   25'","1951","0","195","2026","655","955"
"Rh. Green balm I","725","4952612","5","577","808","7"
"Rh. Inhaler","951","7067815","11","1084","276","650"
"Rh. Minyak Gosok 30 ml","0","0","0","0","0","0"
"Rh. Minyak Gosok 60 ml","0","0","0","0","0","0"
"Rh.Classic 15 gr","0","0","9","0","0","0"
"Rh.Classic 18 gr (kaca)","351","2036337","185","391","7","64"
"Rh.White cream 18 gr","71210","407311764","132","37619","11810","20202"
"Rh.Balsem Sereh 15 gr","0","0","0","0","0","0"
"Rh. Aromatherapy","284","2645713","1","441","0","276"
"Rh. Minyak Angin Putih roll on","0","0","9","0","0","0"
"Rod Lotion 100 ml","0","0","0","0","0","0"
"Rod Lotion 60 ml","58","542687","0","124","0","68"
"Rod Powder 60 gr ","103","717821","7","203","155","254"
"Rod Powder 100 gr ( 1C=144","116","1084686","0","143","184","213"
"Rod Powder Nat 60 gr","104","608800","16","0","149","34"
"Rod Powder Nat 100 gr","51","385138","46","0","55","5"
"Salicyl menthol 60 gr@ 18 ls","3026","13494752","25","2023","652","631"
"Salycil Mentol 90 gr @ 6 ls","0","0","2","0","0","0"
"Salycil Non Mentol 60 gr","2928","12919899","20","2346","743","843"
"Salycil Non Mentol 90 gr","0","0","16","0","0","0"
"Salycil Cool n Fresh","134","537756","12","185","91","216"
"Salicyl genesis 60 gr@ 18 ls","240","971031","6","372","455","245"
"Aloha Ecopack 56's","3976","31540904","0","1776","876","892"
"Dinner Napkin","0","0","80","0","78","0"
"Facial polos large","332","4386585","13","142","48","134"
"Facial polos small","550","3496274","38","480","38","51"
"Facial Travel Pack 50's","2719","5604103","1","903","1197","610"
"Facial Travel Pack Mini","917","4735250","29","515","235","274"
"IPA 102 @72","648","2724874","0","419","58","178"
"IPB 101 @36","5","42500","0","0","333","328"
"IPB 102 @72","603","2509011","1","0","641","110"
"IPM 104 @36","54","374489","0","0","152","98"
"IPN 104 @36","841","5610620","0","391","546","34"
"IPN 110 @36","339","2293299","0","177","216","134"
"IPS 102 @36","25","212118","0","0","393","368"
"IPS 110 @36","249","1889474","0","177","195","150"
"Martell lembaran 1 kg","712","12659888","0","359","310","188"
"Martell lembaran 1/2 kg","2576","25787679","0","2120","183","988"
"Monalisa Jumbo","357","9380281","1","176","55","64"
"Monalisa Maternity","420","4864179","0","247","93","126"
"Monalisa Plus 12","0","0","0","0","0","0"
"Monalisa Plus 6","0","0","0","0","0","0"
"Monalisa Special 8","0","0","0","0","0","0"
"Nasa Napkin","63523","130233342","0","26416","14717","12449"
"Nasa Napkin e-xtra 30's","0","0","282","0","295","0"
"Nasa Roll","42398","76132263","0","15902","6000","4534"
"PHB 54","4328","12724658","28","1902","484","897"
"Roll Tanpa Kor @ 20","9323","94717722","11","2680","1777","818"
"Roll Tanpa Kor Polos @ 10","641","6534395","1","880","880","219"
"Sunbrite sabut cuci","115","210852","0","0","2692","2582"
"Sunbrite Spon","73","214171","0","3","1172","1102"
"Mkp Nellco 60 ml","0","0","0","0","0","0"
"Mkp Nellco 30 ml","0","0","0","0","0","0"
"Minyak Telon Nellco 60 ml","0","0","0","0","0","0"
"Minyak Telon Nellco 30 ml","0","0","0","0","0","0"
"IPA 108","0","0","65","0","37","2"
"IPA 111","0","0","18","0","19","0"
"IPA 103","0","0","217","0","256","24"
"IPA 110","0","0","52","0","67","0"
"IPA 105","82","609454","7","72","118","181"
"IPB 103","43","321472","0","0","291","246"
"IPS 104","0","0","0","0","0","0"
